Gender,Performance,Interview,Cognitive,Personality,Sitdriving
0.00,5.00,83.00,71.00,61.00,73.00
0.00,4.00,82.00,68.00,70.00,62.50
0.00,5.00,81.00,71.00,67.00,65.50
0.00,4.00,90.00,68.00,66.00,69.50
0.00,3.00,82.00,69.00,51.00,73.50
0.00,5.00,89.00,81.00,52.00,77.50
0.00,3.00,84.00,68.00,67.00,75.00
0.00,5.00,96.00,84.00,86.00,69.00
0.00,3.00,82.00,61.00,68.00,67.00
0.00,5.00,87.00,67.00,67.00,73.00
0.00,4.00,79.00,60.00,67.00,65.00
0.00,4.00,77.00,73.00,58.00,69.50
0.00,5.00,90.00,93.00,84.00,66.50
1.00,3.00,83.00,73.00,63.00,61.00
1.00,3.00,82.00,60.00,68.00,68.00
1.00,4.00,98.00,58.00,55.00,72.50
1.00,3.00,81.00,61.00,57.00,70.00
1.00,4.00,90.00,67.00,83.00,72.00
1.00,4.00,93.00,73.00,80.00,73.00
1.00,3.00,87.00,67.00,78.00,68.50
1.00,4.00,80.00,59.00,73.00,62.00
1.00,3.00,82.00,65.00,63.00,68.00
1.00,5.00,100.00,97.00,89.00,71.00
1.00,5.00,91.00,72.00,71.00,73.50
1.00,5.00,92.00,77.00,75.00,75.00
1.00,3.00,77.00,57.00,86.00,70.00
1.00,4.00,85.00,66.00,71.00,68.00
1.00,4.00,98.00,78.00,70.00,68.00
1.00,4.00,91.00,73.00,80.00,75.50
1.00,3.00,78.00,68.00,62.00,58.50
1.00,2.00,86.00,68.00,71.00,69.50
1.00,5.00,89.00,88.00,85.00,68.00
1.00,3.00,83.00,62.00,58.00,69.50
1.00,4.00,83.00,62.00,70.00,75.50
1.00,3.00,90.00,73.00,64.00,71.50
1.00,5.00,81.00,71.00,71.00,74.50
1.00,2.00,87.00,62.00,60.00,64.50
1.00,3.00,78.00,52.00,83.00,54.00
1.00,3.00,84.00,71.00,86.00,62.00
1.00,4.00,79.00,70.00,61.00,69.00
1.00,5.00,92.00,75.00,74.00,71.00
1.00,4.00,85.00,68.00,77.00,70.00
1.00,4.00,78.00,59.00,73.00,69.50
1.00,5.00,89.00,72.00,78.00,74.00
1.00,5.00,91.00,78.00,75.00,72.50
1.00,5.00,89.00,76.00,71.00,72.00
0.00,2.00,84.00,57.00,78.00,73.00
0.00,3.00,97.00,78.00,71.00,74.50
0.00,3.00,91.00,75.00,71.00,82.50
1.00,4.00,92.00,72.00,76.00,75.00
1.00,3.00,89.00,69.00,60.00,67.00
1.00,2.00,85.00,51.00,47.00,65.00
1.00,2.00,87.00,50.00,79.00,73.00
0.00,2.00,87.00,69.00,81.00,71.00
0.00,2.00,85.00,74.00,74.00,59.50
0.00,2.00,73.00,68.00,60.00,62.00
1.00,2.00,84.00,62.00,66.00,73.50
0.00,2.00,79.00,65.00,93.00,69.50
0.00,2.00,84.00,71.00,63.00,70.00
1.00,3.00,86.00,76.00,67.00,69.00
0.00,4.00,90.00,75.00,81.00,74.00
0.00,4.00,94.00,77.00,80.00,74.50
1.00,2.00,92.00,55.00,60.00,69.00
1.00,3.00,82.00,88.00,90.00,54.50
1.00,4.00,90.00,67.00,78.00,73.00
1.00,3.00,93.00,79.00,65.00,67.00
1.00,2.00,77.00,67.00,70.00,62.50
0.00,3.00,86.00,62.00,81.00,78.00
1.00,3.00,75.00,61.00,82.00,67.00
0.00,3.00,90.00,69.00,49.00,75.00
0.00,4.00,86.00,65.00,87.00,79.50
0.00,4.00,91.00,85.00,66.00,72.50
0.00,3.00,88.00,69.00,75.00,67.50
