code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
1,Group 2,NA,1970,38,1992,yes,no,yes,East Germany,yes,yes,yes,yes,yes,yes,no,no,4,2,4,2,4,2,3,3,3,2,3,2,4,4,5,5,4,3,3.75,3.75,3.5,2.5,3.75,3.5,NA,2.25,NA,2.25,NA,22,NA,3,NA,2,NA,1.33333333333333,NA
2,Group 3,male,1967,41,1987,yes,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,4,1,1,1,2,4,4,4,1,3,1,3,7,5,7,6,6,1.8,4,4.5,4,2.5,3.75,4.5,NA,2.5,NA,4.25,NA,31,NA,3.66666666666667,NA,3,NA,2.66666666666667,NA
3,Group 2,female,1989,19,2007,no,yes,yes,Foreign Country,no,no,yes,yes,yes,yes,no,no,4,3,3,2,1,4,3,4,2,3,2,3,6,5,6,6,4,2.8,4.75,3.75,2.75,3.5,3.75,4,NA,3.5,NA,3.5,NA,27,NA,4,NA,3.33333333333333,NA,3.66666666666667,NA
4,Group 2,male,1976,32,1993,no,no,yes,Berlin,no,yes,yes,no,yes,no,no,yes,3,3,2,1,4,5,4,3,1,3,1,4,5,4,6,3,2,2.3,3.25,4.75,3,3,4,4,NA,2.5,NA,4.5,NA,20,NA,3,NA,2.33333333333333,NA,2.33333333333333,NA
5,Group 4,NA,1969,39,1987,yes,no,yes,Berlin,no,no,no,no,no,no,no,no,2,3,4,2,2,1,2,3,3,4,3,2,4,2,4,5,3,3,3,3.75,4.5,3.5,3.75,3,NA,3.75,NA,2,NA,18,NA,NA,NA,NA,NA,NA,NA
6,Group 4,female,1976,32,1995,yes,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,4,2,2,2,3,3,4,2,4,1,4,6,6,6,5,3,2.2,3.5,4,4,2.5,4,4.25,NA,3.75,NA,3.75,NA,26,NA,3.33333333333333,NA,3,NA,2.66666666666667,NA
7,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,3,4,3,4,3,4,2,3,2,5,6,4,3,4,NA,4,3.5,4.75,5,4,3,NA,1.75,NA,2,NA,22,NA,NA,NA,NA,NA,NA,NA
8,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,3,2,4,2,4,3,4,6,5,6,4,1,NA,4,4.5,4,3.75,3.25,4,1,3.75,1.75,3.75,2.25,22,30,NA,3.33333333333333,NA,2,NA,2.66666666666667
9,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,2,3,5,4,1,4,2,3,6,5,6,5,5,NA,2.75,4.25,5,4,4,4,NA,2.75,NA,3.5,NA,27,NA,NA,NA,NA,NA,NA,NA
10,Group 4,male,1985,23,2005,no,no,yes,Berlin,no,yes,yes,yes,yes,yes,yes,yes,3,2,3,3,3,2,3,3,3,3,3,3,3,4,3,4,2,2.4,3.5,3.5,3.25,3.75,3.75,3,2.75,2.75,3,2.75,2,16,20,3,3,2.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667
