States,Popnsize,Age,Party,Sexgov,totalcases,totaldeaths,casespop,deathpop,totaltest,testsperpop,Population,Density,Region,Temp,Pctblck,Decblck,Hospperthou,blckthou,deathsthou,centerblack,centernurse,centerdense,centertemp,interdense,intergovdensity,xdensgeo,xpartyregion,airpol,partydensity,agexregion
Alabama,4887871,39.3,0,1,322452,4389,65764,895,1865910,380551,4903185,95.4,0,62.8,25.93,0.2593,539.8669482,25930,89.5,16113.4,-15.34305179,-102.9,10.86,-1117.494,0,0,0,2951.314,0,0
Alaska,737438,34.9,0,0,42413,183,57977,250,1196506,1635588,731545,1.3,1,26.6,3.5,0.035,93.97400188,3500,25,-6316.6,-461.2359981,-197,-25.34,4991.98,0,1.3,0,433.358,1.3,34.9
Arizona,7171646,38,0,0,453597,7971,62318,1095,3032884,416678,7278717,58.3,0,60.3,3.01,0.0301,231.5368048,3010,109.5,-6806.6,-323.6731952,-140,8.36,-1170.4,0,0,0,700.828,0,0
Arkansas,3013825,38.1,0,0,201650,3237,66820,1073,2145240,710861,3017804,56.9,0,60.4,15.63,0.1563,814.844923,15630,107.3,5813.4,259.634923,-141.4,8.46,-1196.244,0,0,0,1954.644,0,0
California,39557045,36.7,1,0,1888199,22678,47788,574,29465170,745723,39512223,246.1,1,59.4,6.55,0.0655,303.0206124,6550,57.4,-3266.6,-252.1893876,47.8,7.46,356.588,246.1,246.1,1,1006.846,246.1,36.7
Colorado,5695564,36.9,1,0,308890,4368,53639,758,2034633,353312,5758736,50.8,1,45.1,3.7,0.037,358.717767,3700,75.8,-6116.6,-196.492233,-147.5,-6.84,1008.9,50.8,50.8,1,653.668,50.8,36.9
Connecticut,3572665,41.1,1,0,162782,5581,45657,1565,3936069,1103998,3565287,742.6,1,49,8.98,0.0898,774.5758418,8980,156.5,-836.6,219.3658418,544.3,-2.94,-1600.242,742.6,742.6,1,1904.566,742.6,41.1
Delaware,967171,41.1,1,0,50616,862,51980,885,484059,497101,973764,475.1,0,55.3,18.99,0.1899,504.1507655,18990,88.5,9173.4,-51.05923452,276.8,3.36,930.048,475.1,0,0,2504.616,0,0
Florida,21299325,42.4,0,0,1201566,20574,55945,958,14611374,680303,21477737,364.6,0,70.7,14.47,0.1447,392.2424772,14470,95.8,4653.4,-162.9675228,166.3,18.76,3119.788,0,0,0,2003.776,0,0
Georgia,10519475,36.8,0,0,587918,10383,55373,978,5365817,505378,10617423,173.7,0,63.5,28.61,0.2861,380.0094586,28610,97.8,18793.4,-175.2005414,-24.6,11.56,-284.376,0,0,0,3298.382,0,0
